epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,356.693,1.78217,2.65168,0.02154,0.68555,0.14027,0.15972,0.07606,1.5215,2.74447,0.02727,0.00332709,0.00332709,0.0700562
2,678.44,1.76159,1.89883,0.02127,0.4842,0.32624,0.26948,0.13804,1.56379,2.05271,0.02659,0.00501197,0.00501197,0.0384077
3,984.965,1.51694,1.5544,0.01795,0.22044,0.49109,0.28813,0.1485,1.61327,1.87207,0.02881,0.00257339,0.00257339,0.00263581
