epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,299.297,1.62016,1.58325,0.01949,0.07273,0.34556,0.10547,0.04398,1.85466,2.73858,0.03266,0.00332709,0.00332709,0.0700562
2,548.885,1.70393,1.65652,0.02075,0.09467,0.33168,0.12419,0.05163,2.156,2.77528,0.04564,0.00640946,0.00640946,0.0398052
3,888.74,1.66394,1.54581,0.01995,0.42839,0.3131,0.2215,0.10088,2.01924,2.52408,0.04141,0.00854484,0.00854484,0.00860726
4,1203.94,1.56578,1.4891,0.01876,0.41025,0.35801,0.22299,0.11002,1.85904,2.44664,0.03633,0.00694428,0.00694428,0.00694428
5,1518.29,1.46163,1.37693,0.01727,0.23127,0.48622,0.30282,0.14868,1.72448,1.83041,0.03003,0.00505,0.00505,0.00505
6,1856.09,1.349,1.29312,0.0155,0.24348,0.46635,0.31676,0.17138,1.63297,1.87317,0.02921,0.00315572,0.00315572,0.00315572
7,2231.72,1.2434,1.23158,0.01405,0.21477,0.4593,0.28563,0.15357,1.67284,2.01701,0.02885,0.00154982,0.00154982,0.00154982
8,2620.09,1.18785,1.18597,0.01352,0.21703,0.47465,0.3029,0.17108,1.53464,1.90053,0.02524,0.000476796,0.000476796,0.000476796
